name,current_points,first,second,third,market_value,timestamp
akf,1854,0.03145,0.0379,0.0379,13.354,2026-03-14T15:21:05Z
atz,2242,0.0578,0.0616,0.0609,23.547999999999995,2026-03-14T15:21:05Z
auk,1697,0.027,0.02395,0.0241,10.440000000000001,2026-03-14T15:21:05Z
biw,1132,0.00615,0.00565,0.0066,2.4379999999999997,2026-03-14T15:21:05Z
bnj,1256,0.0101,0.01165,0.011,4.2,2026-03-14T15:21:05Z
bxm,1238,0.0113,0.0113,0.01065,4.493999999999999,2026-03-14T15:21:05Z
caq,1813,0.01475,0.01565,0.01485,5.976,2026-03-14T15:21:05Z
ceg,1866,0.03355,0.0324,0.0316,13.250000000000002,2026-03-14T15:21:05Z
dsh,1893,0.04545,0.03715,0.0333,17.029999999999998,2026-03-14T15:21:05Z
gaa,1638,0.01305,0.0166,0.0166,5.646,2026-03-14T15:21:05Z
hlk,1850,0.03565,0.0425,0.03755,14.884,2026-03-14T15:21:05Z
idg,2238,0.0562,0.05515,0.05415,22.314,2026-03-14T15:21:05Z
iif,1586,0.0111,0.0133,0.0164,4.828,2026-03-14T15:21:05Z
jat,1642,0.01555,0.01345,0.01415,5.996,2026-03-14T15:21:05Z
jfa,1158,0.0059,0.0114,0.00685,2.837999999999999,2026-03-14T15:21:05Z
kji,1356,0.00625,0.00655,0.0065,2.5340000000000003,2026-03-14T15:21:05Z
knp,1778,0.0365,0.0281,0.02545,13.485999999999997,2026-03-14T15:21:05Z
lcu,2076,0.0264,0.0326,0.03708333333333333,11.483333333333334,2026-03-14T15:21:05Z
lcz,1415,0.01065,0.0155,0.01535,4.836,2026-03-14T15:21:05Z
mkt,2266,0.0717,0.06055,0.0578,27.232,2026-03-14T15:21:05Z
myz,1399,0.01365,0.0128,0.0113,5.298,2026-03-14T15:21:05Z
nor,1252,0.0112,0.00905,0.0104,4.276,2026-03-14T15:21:05Z
nur,1012,0.00985,0.0073,0.00595,3.58,2026-03-14T15:21:05Z
oik,1494,0.0256,0.0235,0.02165,9.914000000000001,2026-03-14T15:21:05Z
omn,1128,0.0076,0.00765,0.0057,2.9679999999999995,2026-03-14T15:21:05Z
onv,951,0.00385,0.00495,0.0043,1.646,2026-03-14T15:21:05Z
pib,1258,0.03225,0.02025,0.0252,11.658,2026-03-14T15:21:05Z
pnv,2148,0.04355,0.03775,0.03655,16.676000000000002,2026-03-14T15:21:05Z
pve,1600,0.02395,0.0226,0.0211,9.358,2026-03-14T15:21:05Z
pyi,1361,0.0107,0.01095,0.010283333333333334,4.283333333333333,2026-03-14T15:21:05Z
qcy,1687,0.01275,0.01035,0.012683333333333333,4.905333333333333,2026-03-14T15:21:05Z
rwh,1775,0.0236,0.0247,0.02925,9.754,2026-03-14T15:21:05Z
ryk,2048,0.0415,0.0489,0.04775,17.442,2026-03-14T15:21:05Z
tft,1129,0.0051,0.00765,0.00725,2.33,2026-03-14T15:21:05Z
uhq,1659,0.01695,0.01995,0.02365,7.288,2026-03-14T15:21:05Z
vxi,1719,0.02945,0.0325,0.03485,12.24,2026-03-14T15:21:05Z
wqf,1462,0.02165,0.0201,0.01815,8.395999999999999,2026-03-14T15:21:05Z
wyn,2075,0.04045,0.04315,0.04925,16.748,2026-03-14T15:21:05Z
xtp,2630,0.08445,0.0911,0.0947,34.722,2026-03-14T15:21:05Z
yub,1253,0.0154,0.01185,0.01125,5.710000000000001,2026-03-14T15:21:05Z
