Team,Record,ELO,Rank,ELO Delta
Duke,32-2,1909.68,1,1
Arizona,32-2,1903.89,2,1
Michigan,31-3,1872.09,3,-2
Saint John's,28-6,1805.23,4,1
Florida,26-7,1786.41,5,-1
Houston,28-6,1777.42,6,NA
Purdue,27-8,1767.19,7,14
Virginia,29-5,1761.56,8,NA
Arkansas,26-8,1758.59,9,3
Gonzaga,30-3,1747.01,10,NA
Connecticut,29-5,1743.27,11,-4
Iowa State,27-7,1719.04,12,3
Michigan State,25-7,1705.11,13,-4
Wisconsin,24-10,1696.19,14,6
Kansas,23-10,1686.32,15,1
Vanderbilt,26-8,1686.14,16,8
VCU,27-7,1682.47,17,11
Alabama,23-9,1677.92,18,-7
Saint Mary's College,26-5,1675.67,19,-6
Illinois,24-8,1673.8,20,-6
UCLA,23-11,1663.38,21,5
Utah State,27-6,1661.89,22,11
Texas Tech,22-10,1659.65,23,-6
Nebraska,26-6,1650.11,24,-5
North Carolina,24-8,1649.41,25,-7
TCU,22-11,1638.72,26,-1
Ohio State,21-12,1634.9,27,2
Louisville,23-10,1629.11,28,-1
Akron,27-5,1624.24,29,8
BYU,23-11,1619.36,30,2
Miami (FL),25-8,1616.41,31,3
Santa Clara,25-8,1616.29,32,3
Clemson,24-10,1614.89,33,10
Kentucky,21-13,1612.68,34,2
Tennessee,22-11,1612.45,35,-5
South Florida,24-8,1610.68,36,4
Villanova,24-8,1610.29,37,-14
Miami (OH),28-1,1608.32,38,-16
McNeese,26-5,1583.45,39,8
Saint Louis,27-5,1574.54,40,-2
High Point,27-4,1574.1,41,1
San Diego State,21-11,1572.22,42,6
Georgia,22-10,1572.01,43,-12
Oklahoma,19-15,1570.09,44,5
Dayton,23-11,1564.55,45,5
Florida State,18-15,1555.8,46,5
Texas A&M,21-11,1555.68,47,-8
Iowa,21-12,1549.57,48,-2
UCF,21-11,1545.42,49,9
Cincinnati,18-15,1541.76,50,-6
Missouri,20-12,1539.24,51,-6
Belmont,25-6,1536.17,52,1
Wichita State,21-11,1530.99,53,3
Boise State,19-11,1529.91,54,-13
North Carolina State,20-13,1529.59,55,5
New Mexico,22-10,1516.94,56,-1
Saint Joseph's,20-11,1515.04,57,6
Tulsa,24-7,1507.82,58,4
Arizona State,17-16,1505.67,59,11
Yale,22-6,1504.13,60,1
Stanford,20-12,1502.2,61,-9
California Baptist,25-8,1499.14,62,31
Texas,17-14,1498.37,63,-9
Indiana,18-14,1495.99,64,-7
Colorado State,20-12,1495.56,65,NA
UNCW,24-6,1493.79,66,3
Utah Valley,22-8,1491.98,67,-3
Auburn,17-16,1491.92,68,5
Northern Iowa,22-12,1491.72,69,2
Seton Hall,21-12,1491.59,70,9
Hofstra,22-10,1491.42,71,24
Oklahoma State,19-14,1489.29,72,5
Nevada,22-12,1483.64,73,14
Wake Forest,17-16,1482.19,74,7
Liberty,22-7,1482.02,75,-16
Grand Canyon,20-12,1476.6,76,-10
Virginia Tech,19-13,1475.2,77,-10
West Virginia,18-14,1474.97,78,-6
SMU,20-13,1474.94,79,7
North Dakota State,24-7,1472.87,80,2
Bradley,20-12,1471.97,81,3
Baylor,15-16,1470.58,82,-14
UC Irvine,21-11,1468.44,83,-7
Stephen F. Austin,26-5,1465.75,84,-1
Kent State,22-9,1465.33,85,NA
California,20-11,1465.29,86,-11
Northwestern,15-19,1464.22,87,14
Ole Miss,15-20,1461.62,88,63
UNLV,16-16,1460.13,89,3
Charleston,20-11,1456.4,90,1
Colorado,17-15,1454.44,91,-13
Washington,16-17,1453.36,92,5
George Mason,22-9,1449.3,93,-19
Hawaii,22-8,1447.03,94,26
Merrimack,23-11,1446.05,95,-15
Penn,17-11,1444.03,96,28
Wright State,21-11,1443.29,97,19
Minnesota,15-17,1435.46,98,-8
Troy,20-11,1434.85,99,7
Robert Morris,20-11,1433.89,100,-12
UAB,19-12,1432.01,101,-12
Illinois State,19-12,1431.42,102,-2
Rutgers,14-19,1428.56,103,5
USC,17-14,1425.07,104,-10
Georgetown,16-18,1422.6,105,42
Creighton,15-17,1413.7,106,-7
UIC,17-15,1411.62,107,NA
Marquette,12-20,1410.6,108,-12
Siena,23-11,1409.88,109,21
Navy,24-7,1409.85,110,-1
Kennesaw State,18-13,1409.69,111,66
Winthrop,20-11,1408.42,112,-1
UC San Diego,21-11,1407.53,113,-11
North Texas,17-14,1407.34,114,NA
Oregon,12-20,1406.09,115,-17
Tennessee State,20-9,1403.17,116,-3
