name,current_points,first,second,third,market_value,timestamp
akq,0,0.02515,0.0248,0.0231,9.95,2026-03-18T20:03:45Z
ani,0,0.0026,0.0023,0.00245,1.01,2026-03-18T20:03:45Z
ari,0,0.01935,0.01485,0.01545,7.223999999999999,2026-03-18T20:03:45Z
cdp,0,0.01955,0.01745,0.01865,7.6160000000000005,2026-03-18T20:03:45Z
cgv,0,0.0125,0.0171,0.0212,5.716,2026-03-18T20:03:45Z
cng,0,0.02385,0.02605,0.02455,9.744,2026-03-18T20:03:45Z
cws,0,0.01025,0.0101,0.01,4.078,2026-03-18T20:03:45Z
fst,0,0.0247,0.03025,0.02865,10.482,2026-03-18T20:03:45Z
gah,0,0.03705,0.026,0.02185,13.327999999999998,2026-03-18T20:03:45Z
gne,0,0.0046,0.0017,0.0013,1.476,2026-03-18T20:03:45Z
gwg,0,0.05795,0.0597,0.06305,23.524,2026-03-18T20:03:45Z
hzq,0,0.006,0.0053,0.0055,2.324,2026-03-18T20:03:45Z
ibn,0,0.029,0.03095,0.02705,11.678,2026-03-18T20:03:45Z
jnp,0,0.02355,0.0193,0.0168,8.81,2026-03-18T20:03:45Z
kch,0,0.01495,0.01625,0.02165,6.352,2026-03-18T20:03:45Z
kcz,0,0.0127,0.01125,0.0131,4.98,2026-03-18T20:03:45Z
knr,0,0.02545,0.0304,0.03555,10.979999999999999,2026-03-18T20:03:45Z
mpc,0,0.02925,0.03015,0.0315,11.861999999999998,2026-03-18T20:03:45Z
mzz,0,0.0554,0.05515,0.0429,21.64,2026-03-18T20:03:45Z
nmm,0,0.02495,0.02265,0.0284,9.934000000000001,2026-03-18T20:03:45Z
oaa,0,0.01605,0.0187,0.017,6.67,2026-03-18T20:03:45Z
prf,0,0.0161,0.01605,0.0132,6.3199999999999985,2026-03-18T20:03:45Z
ptx,0,0.0413,0.0363,0.035,15.868000000000002,2026-03-18T20:03:45Z
pzk,0,0.05175,0.0444,0.0389,19.598,2026-03-18T20:03:45Z
rbe,0,0.0183,0.01605,0.01485,7.001999999999999,2026-03-18T20:03:45Z
rit,0,0.04055,0.0486,0.0393,16.814000000000004,2026-03-18T20:03:45Z
rmn,0,0.00395,0.0065,0.0082,1.954,2026-03-18T20:03:45Z
rvk,0,0.02525,0.0234,0.0208,9.774000000000001,2026-03-18T20:03:45Z
skn,0,0.028,0.03005,0.0314,11.5,2026-03-18T20:03:45Z
svu,0,0.0162,0.0222,0.02285,7.226,2026-03-18T20:03:45Z
syx,0,0.01855,0.02385,0.0224,7.997999999999999,2026-03-18T20:03:45Z
tht,0,0.01075,0.01245,0.0112,4.454,2026-03-18T20:03:45Z
tjy,0,0.0154,0.026,0.0295,7.572,2026-03-18T20:03:45Z
uge,0,0.05355,0.056,0.05755,21.776,2026-03-18T20:03:45Z
ugw,0,0.01625,0.02105,0.02725,7.324,2026-03-18T20:03:45Z
vub,0,0.0238,0.01945,0.0213,9.072,2026-03-18T20:03:45Z
vye,0,0.02405,0.0216,0.0224,9.358,2026-03-18T20:03:45Z
wfb,0,0.03525,0.03395,0.03745,14.084,2026-03-18T20:03:45Z
why,0,0.05395,0.04015,0.042,19.997999999999998,2026-03-18T20:03:45Z
zsa,0,0.0322,0.03155,0.03475,12.93,2026-03-18T20:03:45Z
