Team,Record,ELO,Rank,ELO Delta
UCLA,31-1,1973.77,1,NA
Connecticut,34-0,1944.15,2,NA
Texas,31-3,1926.21,3,NA
South Carolina,31-3,1918.13,4,NA
LSU,27-5,1817.91,5,NA
Iowa,26-6,1812.17,6,NA
Duke,24-8,1805.29,7,NA
West Virginia,27-6,1792.04,8,NA
TCU,29-5,1785.76,9,NA
Michigan,25-6,1784.6,10,NA
Vanderbilt,27-4,1782.67,11,NA
Ohio State,26-7,1766.8,12,NA
North Carolina,26-7,1759.2,13,NA
Oklahoma,24-7,1757.72,14,NA
Louisville,27-7,1736.78,15,NA
Princeton,26-3,1730,16,1
Rhode Island,27-4,1704.07,17,1
Minnesota,22-8,1699.34,18,1
Villanova,25-7,1696.75,19,-3
Murray State,30-3,1696.52,20,2
Notre Dame,22-10,1693.68,21,-1
James Madison,26-8,1685.52,22,6
Fairfield,28-4,1684.94,23,6
George Mason,23-9,1678.47,24,-1
South Dakota State,27-6,1672.54,25,-1
Maryland,23-8,1669.02,26,-1
Richmond,26-7,1667.89,27,-1
Kentucky,23-10,1665.21,28,-1
Rice,28-5,1661.42,29,-8
Baylor,24-8,1661.26,30,NA
Alabama,23-10,1647.34,31,NA
Ole Miss,23-11,1643.9,32,NA
North Carolina State,20-10,1641.96,33,NA
Colorado,22-11,1641.83,34,NA
Michigan State,22-8,1641.06,35,NA
Miami (OH),26-6,1639.64,36,19
Idaho,27-5,1637.8,37,15
Washington,21-10,1637.24,38,-2
Oklahoma State,22-9,1635.69,39,-2
Virginia Tech,23-9,1632.88,40,-2
San Diego State,24-5,1632.61,41,-2
Colorado State,26-7,1622.33,42,15
North Dakota State,26-4,1620.58,43,-2
Georgia Southern,22-7,1617.73,44,-1
Texas Tech,25-7,1617.26,45,-1
Louisiana Tech,24-6,1615.35,46,-6
Georgia,22-9,1613.38,47,NA
Gonzaga,24-9,1611.11,48,21
Vermont,25-7,1609.6,49,15
Iowa State,22-9,1609.4,50,-1
Illinois,21-11,1606.16,51,NA
Syracuse,23-8,1604.15,52,1
BYU,22-11,1602.35,53,1
Oregon,22-12,1596.69,54,2
Charleston,25-5,1594.76,55,19
McNeese,26-5,1593.22,56,-8
Quinnipiac,26-6,1592.48,57,-11
Columbia,20-8,1589.35,58,-16
Ball State,25-7,1588.11,59,-14
Troy,24-7,1587.59,60,-10
Clemson,21-11,1586.8,61,-2
USC,17-13,1579.21,62,-1
Fairleigh Dickinson,28-4,1577.02,63,10
UC San Diego,23-8,1575.52,64,28
Montana State,23-7,1571.48,65,-7
Tennessee,16-13,1569.71,66,-1
Harvard,18-11,1568.94,67,8
Western Illinois,23-5,1567.84,68,-2
Arizona State,24-10,1567.25,69,-2
Kansas State,18-17,1566.42,70,-2
Kansas,18-13,1562.77,71,-1
Indiana,18-14,1562.57,72,-1
Holy Cross,23-9,1559.58,73,28
Stephen F. Austin,23-9,1555.52,74,40
Green Bay,24-8,1554.67,75,27
Jacksonville,22-8,1553.16,76,9
Lindenwood,23-8,1551.93,77,-1
Creighton,16-15,1550.78,78,-1
Howard,26-7,1550.52,79,15
UC Irvine,26-6,1550.11,80,-18
Loyola-Marymount,20-9,1548.47,81,-18
Utah,18-12,1547.86,82,-3
Virginia,19-11,1547.75,83,-3
South Florida,20-12,1547.63,84,-24
Texas A&M,14-12,1546.39,85,-4
Oregon State,21-11,1542.54,86,-2
UTSA,17-15,1542.35,87,68
California Baptist,23-10,1534.72,88,21
Missouri State,22-12,1532.69,89,47
Davidson,21-12,1532.59,90,-3
Florida,18-15,1532.12,91,-3
Hawaii,20-11,1531.26,92,7
Arkansas State,23-9,1530.55,93,-3
Nebraska,18-12,1528.59,94,-3
California,19-14,1522.84,95,NA
UMass,23-7,1522.64,96,-24
East Carolina,22-10,1520.35,97,-19
Santa Clara,22-9,1519.3,98,-16
High Point,25-5,1519.05,99,-3
UNLV,21-11,1518.57,100,-17
Seton Hall,19-12,1517.2,101,-4
Youngstown State,22-9,1511.13,102,-2
Army,23-7,1508.61,103,-10
Marshall,21-9,1504.43,104,NA
