contestId,bracketPositionId,victorBracketPositionId,victorGamePosition,startDate,isWinner,isTop,seed,nameShort,elo_name
6534660,101,225,Bottom,2026-03-18,TRUE,TRUE,16,Missouri St.,Missouri State
6534660,101,225,Bottom,2026-03-18,FALSE,FALSE,16,Stephen F. Austin,Stephen F. Austin
6534661,102,221,Bottom,2026-03-18,TRUE,TRUE,11,Nebraska,Nebraska
6534661,102,221,Bottom,2026-03-18,FALSE,FALSE,11,Richmond,Richmond
6534662,103,209,Bottom,2026-03-19,TRUE,TRUE,16,Southern,Southern
6534662,103,209,Bottom,2026-03-19,FALSE,FALSE,16,Samford,Samford
6534663,104,215,Bottom,2026-03-19,TRUE,TRUE,10,Virginia,Virginia
6534663,104,215,Bottom,2026-03-19,FALSE,FALSE,10,Arizona St.,Arizona State
6534664,201,301,Top,2026-03-21,FALSE,TRUE,1,UConn,Connecticut
6534664,201,301,Top,2026-03-21,FALSE,FALSE,16,UTSA,UTSA
6534665,202,301,Bottom,2026-03-21,FALSE,TRUE,8,Iowa St.,Iowa State
6534665,202,301,Bottom,2026-03-21,FALSE,FALSE,9,Syracuse,Syracuse
6534666,203,302,Top,2026-03-20,TRUE,TRUE,5,Maryland,Maryland
6534666,203,302,Top,2026-03-20,FALSE,FALSE,12,Murray St.,Murray State
6534667,204,302,Bottom,2026-03-20,TRUE,TRUE,4,North Carolina,North Carolina
6534667,204,302,Bottom,2026-03-20,FALSE,FALSE,13,Western Illinois,Western Illinois
6534668,205,303,Top,2026-03-21,TRUE,TRUE,6,Notre Dame,Notre Dame
6534668,205,303,Top,2026-03-21,FALSE,FALSE,11,Fairfield,Fairfield
6534669,206,303,Bottom,2026-03-21,TRUE,TRUE,3,Ohio St.,Ohio State
6534669,206,303,Bottom,2026-03-21,FALSE,FALSE,14,Howard,Howard
6534670,207,304,Top,2026-03-21,FALSE,TRUE,7,Illinois,Illinois
6534670,207,304,Top,2026-03-21,FALSE,FALSE,10,Colorado,Colorado
6534671,208,304,Bottom,2026-03-21,FALSE,TRUE,2,Vanderbilt,Vanderbilt
6534671,208,304,Bottom,2026-03-21,FALSE,FALSE,15,High Point,High Point
6534672,209,305,Top,2026-03-21,TRUE,TRUE,1,South Carolina,South Carolina
6534672,209,305,Top,2026-03-21,FALSE,FALSE,16,Southern,Southern
6534673,210,305,Bottom,2026-03-21,FALSE,TRUE,8,Clemson,Clemson
6534673,210,305,Bottom,2026-03-21,FALSE,FALSE,9,USC,USC
6534674,211,306,Top,2026-03-20,TRUE,TRUE,5,Michigan St.,Michigan State
6534674,211,306,Top,2026-03-20,FALSE,FALSE,12,Colorado St.,Colorado State
6534675,212,306,Bottom,2026-03-20,TRUE,TRUE,4,Oklahoma,Oklahoma
6534675,212,306,Bottom,2026-03-20,FALSE,FALSE,13,Idaho,Idaho
6534676,213,307,Top,2026-03-20,TRUE,TRUE,6,Washington,Washington
